family	anchor	alpha	beta	relation	n	degree	best_pieces	accepted	min_coeff	fail_piece	value_at_0	value_at_1	endpoint_falsified	expected
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	1	2	1	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	1	2	1	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	1	2	1	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	2	4	1	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	2	4	1	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	2	4	1	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	3	6	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	3	6	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	3	6	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	4	8	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	4	8	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	4	8	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	5	10	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	5	10	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	5	10	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	6	12	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	6	12	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	6	12	2	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	7	14	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	7	14	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	7	14	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	8	16	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	8	16	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	8	16	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	9	18	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	9	18	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	9	18	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	10	20	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	10	20	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	10	20	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	11	22	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	11	22	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	11	22	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	12	24	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	12	24	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	12	24	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	13	26	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	13	26	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	13	26	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	14	28	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	14	28	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	14	28	4	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	15	30	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	15	30	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	15	30	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	16	32	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	16	32	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	16	32	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	17	34	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	17	34	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	17	34	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	0	0	alpha_eq_beta	18	36	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	left	0	0	alpha_eq_beta	18	36	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	oriented	0	0	alpha_eq_beta	18	36	8	true	0	-1	0	0	false	positive_claim
jacobi_turan_gasper_cone	right	1/2	0	alpha_gt_beta	1	2	0	false	-4/45	-2	-4/45	0	true	outside_cone
jacobi_turan_gasper_cone	left	1/2	0	alpha_gt_beta	1	2	1	true	0	-1	0	3/8	false	positive_claim
